Sl No.,Bank Name,Branch Name,Routing No.,Dist. Name
1,AB BANK PLC,AGENT BANKING,20270607,DHAKA-SOUTH
2,AB BANK PLC,AGRABAD,20150130,CHITTAGONG
3,AB BANK PLC,ANDERKILLA,20150493,CHITTAGONG
4,AB BANK PLC,ASHUGANJ,20120102,BRAHMANBARIA
5,AB BANK PLC,AUSTAGRAM,20480071,KISHOREGANJ
6,AB BANK PLC,BAHADDAR HAT,20150798,CHITTAGONG
7,AB BANK PLC,BANANI,20260433,DHAKA-NORTH
8,AB BANK PLC,BANDURA,20270649,DHAKA-SOUTH
9,AB BANK PLC,BANSHKHALI,20150972,CHITTAGONG
10,AB BANK PLC,BARISAL,20060288,BARISHAL
11,AB BANK PLC,BASHUNDHARA,20260554,DHAKA-NORTH
12,AB BANK PLC,BENAPOLE,20410283,JESSORE
13,AB BANK PLC,BHAIRAB BAZAR,20480226,KISHOREGANJ
14,AB BANK PLC,BHULTA,20670223,NARAYANGANJ
15,AB BANK PLC,BOALKHALI,20151300,CHITTAGONG
16,AB BANK PLC,BOARD BAZAR,20330226,GAZIPUR
17,AB BANK PLC,BOGRA,20100377,BOGRA
18,AB BANK PLC,BOROIKANDI,20910525,SYLHET
19,AB BANK PLC,BRAHMANBARIA,20120436,BRAHMANBARIA
20,AB BANK PLC,C.D.A. AVENUE,20151489,CHITTAGONG
21,AB BANK PLC,C.E.P.Z.,20151571,CHITTAGONG
22,AB BANK PLC,CHAKARIA,20220165,COXS BAZAR
23,AB BANK PLC,CHANDPUR,20130318,CHANDPUR
24,AB BANK PLC,CHANDRA,20330400,GAZIPUR
25,AB BANK PLC,CHAPAI NAWABGANJ,20700256,NAWABGANJ
26,AB BANK PLC,CHATARI,20151876,CHITTAGONG
27,AB BANK PLC,CHAWK BAZAR,20151939,CHITTAGONG
28,AB BANK PLC,CHHATAK,20900227,SUNAMGANJ
29,AB BANK PLC,CHOUMOHANI,20750677,NOAKHALI
30,AB BANK PLC,COMILLA,20191157,COMILLA
31,AB BANK PLC,COXS BAZAR,20220257,COXS BAZAR
32,AB BANK PLC,DARGAH GATE,20911090,SYLHET
33,AB BANK PLC,DEWAN HAT,20152446,CHITTAGONG
34,AB BANK PLC,DHANMONDI,20261182,DHAKA-NORTH
35,AB BANK PLC,DINAJPUR,20280671,DINAJPUR
36,AB BANK PLC,FARIDPUR,20290524,FARIDPUR
37,AB BANK PLC,FENI,20300522,FENI
38,AB BANK PLC,GARDEN TOWER,20911487,SYLHET
39,AB BANK PLC,GARIB-E-NEWAZ AVENUE,20261645,DHAKA-NORTH
40,AB BANK PLC,GULSHAN,20261724,DHAKA-NORTH
41,AB BANK PLC,HABIGANJ,20360612,HABIGANJ
42,AB BANK PLC,HATHAZARI,20153229,CHITTAGONG
43,AB BANK PLC,HEAD OFFICE,20272689,DHAKA-SOUTH
44,AB BANK PLC,IMAMGANJ,20272805,DHAKA-SOUTH
45,AB BANK PLC,ISLAMI BANKING(KAKRAIL),20272926,DHAKA-SOUTH
46,AB BANK PLC,ISLAMPUR,20272984,DHAKA-SOUTH
47,AB BANK PLC,JATRABARI,20273220,DHAKA-SOUTH
48,AB BANK PLC,JESSORE,20410946,JESSORE
49,AB BANK PLC,JHENAIDAH,20440640,JHENAIDAH
50,AB BANK PLC,JHIKARGACHA,20411095,JESSORE
51,AB BANK PLC,JOYPARA,20273288,DHAKA-SOUTH
52,AB BANK PLC,JUBILEE ROAD,20153645,CHITTAGONG
53,AB BANK PLC,KAKRAIL,20273370,DHAKA-SOUTH
54,AB BANK PLC,KALAMPUR,20262444,DHAKA-NORTH
55,AB BANK PLC,KALATIA,20273433,DHAKA-SOUTH
56,AB BANK PLC,KAMRANGIRCHAR,20273583,DHAKA-SOUTH
57,AB BANK PLC,KARWAN BAZAR,20262536,DHAKA-NORTH
58,AB BANK PLC,KHATUNGANJ,20154273,CHITTAGONG
59,AB BANK PLC,KHULNA,20471543,KHULNA
60,AB BANK PLC,KHULSHI,20154365,CHITTAGONG
61,AB BANK PLC,KUSHTIA,20500948,KUSHTIA
62,AB BANK PLC,LALMONIRHAT,20520465,LALMONIRHAT
63,AB BANK PLC,LOHA GARA,20154660,CHITTAGONG
64,AB BANK PLC,MADHABDI,20680671,NARSHINGDI
65,AB BANK PLC,MADHABPUR,20360883,HABIGANJ
66,AB BANK PLC,MALIBAGH,20273941,DHAKA-SOUTH
67,AB BANK PLC,MIRPUR,20262981,DHAKA-NORTH
68,AB BANK PLC,MODHUBAN SUPER MARKET,20912657,SYLHET
69,AB BANK PLC,MOHAKHALI,20263193,DHAKA-NORTH
70,AB BANK PLC,MOMIN ROAD,20155269,CHITTAGONG
71,AB BANK PLC,MOTIJHEEL,20274245,DHAKA-SOUTH
72,AB BANK PLC,MOULAVI BAZAR,20581183,MOULVI BAZAR
73,AB BANK PLC,MYMENSINGH BUSINESS CENTER,20611787,MYMENSINGH
74,AB BANK PLC,NAOGAON,20641186,NAOGAON
75,AB BANK PLC,NARAYANGANJ,20671185,NARAYANGANJ
76,AB BANK PLC,NAWABPUR,20274724,DHAKA-SOUTH
77,AB BANK PLC,NAZU MEA HAT,20155627,CHITTAGONG
78,AB BANK PLC,NEW ELEPHANT ROAD,20263498,DHAKA-NORTH
79,AB BANK PLC,NORTH SOUTH ROAD,20275110,DHAKA-SOUTH
80,AB BANK PLC,PABNA,20761787,PABNA
81,AB BANK PLC,PAGLA,20671301,NARAYANGANJ
82,AB BANK PLC,PAHARTALI,20155922,CHITTAGONG
83,AB BANK PLC,PARIL,20560083,MANIKGANJ
84,AB BANK PLC,PATHERHAT,20156134,CHITTAGONG
85,AB BANK PLC,PORT CONNECTING ROAD,20156255,CHITTAGONG
86,AB BANK PLC,PRAGATI SARANI,20263706,DHAKA-NORTH
87,AB BANK PLC,PRINCIPAL,20275352,DHAKA-SOUTH
88,AB BANK PLC,RAJSHAHI,20811932,RAJSHAHI
89,AB BANK PLC,RANGPUR,20851455,RANGPUR
90,AB BANK PLC,REMITTANCE,20270786,DHAKA-SOUTH
91,AB BANK PLC,ROKEYA SHARANI,20264000,DHAKA-NORTH
92,AB BANK PLC,RTGS-BANKS MISCELLANEOUS PAYMENTS,20270399,DHAKA-SOUTH
93,AB BANK PLC,RTGS-INTERBANK FOREX TRANSACTIONS,20270360,DHAKA-SOUTH
94,AB BANK PLC,RTGS-INTERBANK LOCAL CURRENCY TRANSACTIONS,20270386,DHAKA-SOUTH
95,AB BANK PLC,SANDWIP,20156918,CHITTAGONG
96,AB BANK PLC,SATKHIRA,20871093,SATKHIRA
97,AB BANK PLC,SAVAR,20264097,DHAKA-NORTH
98,AB BANK PLC,SAYEDPUR,20730792,NILPHAMARI
99,AB BANK PLC,SEEDSTORE BAZAR,20612094,MYMENSINGH
100,AB BANK PLC,SERAJGANJ,20881870,SIRAJGANJ
101,AB BANK PLC,SHYAMALI,20264305,DHAKA-NORTH
102,AB BANK PLC,SITAKUNDA,20157391,CHITTAGONG
103,AB BANK PLC,SREE MANGAL,20581725,MOULVI BAZAR
104,AB BANK PLC,STATION ROAD,20157517,CHITTAGONG
105,AB BANK PLC,TAJPUR,20913827,SYLHET
106,AB BANK PLC,TANGAIL,20932295,TANGAIL
107,AB BANK PLC,TEKNAF,20220910,COXS BAZAR
108,AB BANK PLC,TONGI,20331638,GAZIPUR
109,AB BANK PLC,TRUNCATION POINT,20270007,DHAKA-SOUTH
110,AB BANK PLC,UTTARA,20264639,DHAKA-NORTH
111,AB BANK PLC,ZINZIRA,20277097,DHAKA-SOUTH
112,AGRANI BANK PLC,A. HAMID ROAD,10760048,PABNA
113,AGRANI BANK PLC,AGAMASHILANE,10270109,DHAKA-SOUTH
114,AGRANI BANK PLC,AGRABAD CORPORATE,10150166,CHITTAGONG
115,AGRANI BANK PLC,AHLADIPUR,10820041,RAJBARI
116,AGRANI BANK PLC,AHSANGANJ,10640100,NAOGAON
117,AGRANI BANK PLC,AI-HAI,10640139,NAOGAON
118,AGRANI BANK PLC,AIR BASE,10150195,CHITTAGONG
119,AGRANI BANK PLC,AISHARA,10930049,TANGAIL
120,AGRANI BANK PLC,AKHAURA,10120046,BRAHMANBARIA
121,AGRANI BANK PLC,AKKELPUR,10380044,JOYPURHAT
122,AGRANI BANK PLC,ALAM NAGAR,10850040,RANGPUR
123,AGRANI BANK PLC,ALAMDANGA,10180044,CHUADANGA
124,AGRANI BANK PLC,ALGEE BAZAR,10130052,CHANDPUR
125,AGRANI BANK PLC,ALLAHAR DARGAH,10500079,KUSHTIA
126,AGRANI BANK PLC,AMANAT KHAN SARAK,10150287,CHITTAGONG
127,AGRANI BANK PLC,AMBARI BAZAR,10900040,SUNAMGANJ
128,AGRANI BANK PLC,AMBARKHANA,10910043,SYLHET
129,AGRANI BANK PLC,AMINCOURT,10270259,DHAKA-SOUTH
130,AGRANI BANK PLC,AMIRABAD,10150403,CHITTAGONG
131,AGRANI BANK PLC,AMIRGANJ,10680049,NARSHINGDI
132,AGRANI BANK PLC,AMIRHAT,10150432,CHITTAGONG
133,AGRANI BANK PLC,AMNURA,10700040,NAWABGANJ
134,AGRANI BANK PLC,AMRATALI BAZAR,10190168,COMILLA
135,AGRANI BANK PLC,AMTALI,10040047,BARGUNA
136,AGRANI BANK PLC,AMTALI,10280078,DINAJPUR
137,AGRANI BANK PLC,AMUA BAZAR,10420070,JHALOKATHI
138,AGRANI BANK PLC,ANDUL BARIA,10180107,CHUADANGA
139,AGRANI BANK PLC,ANTA BARAH,10270288,DHAKA-SOUTH
140,AGRANI BANK PLC,ARAIHAZAR,10670046,NARAYANGANJ
141,AGRANI BANK PLC,ARENDA,10650040,NARAIL
142,AGRANI BANK PLC,ARICHAGHAT,10560048,MANIKGANJ
143,AGRANI BANK PLC,ARPARA,10550137,MAGURA
144,AGRANI BANK PLC,ARTYLARY CENTRE,10150553,CHITTAGONG
145,AGRANI BANK PLC,ASAD GANJ,10150582,CHITTAGONG
146,AGRANI BANK PLC,ASHUGANJ,10120109,BRAHMANBARIA
147,AGRANI BANK PLC,ASKERDIGHI,10150674,CHITTAGONG
148,AGRANI BANK PLC,ASMANKHALI,10180136,CHUADANGA
149,AGRANI BANK PLC,ATAIKULA,10760222,PABNA
150,AGRANI BANK PLC,ATGHORIA,10760251,PABNA
151,AGRANI BANK PLC,ATHAROBARI,10610130,MYMENSINGH
152,AGRANI BANK PLC,AURIA,10650079,NARAIL
153,AGRANI BANK PLC,AWLAI,10380107,JOYPURHAT
154,AGRANI BANK PLC,AZADI BAZAR,10150737,CHITTAGONG
155,AGRANI BANK PLC,AZIZ NAGAR,10030073,BANDARBAN
156,AGRANI BANK PLC,B.A.F.,10260319,DHAKA-NORTH
157,AGRANI BANK PLC,B.B. AVENUE,10270433,DHAKA-SOUTH
158,AGRANI BANK PLC,B.B. ROAD,10670075,NARAYANGANJ
159,AGRANI BANK PLC,B.K. ROAD,10670138,NARAYANGANJ
