Office Code,Office Name,Office Name in Bangla,Office Address,Mobile,Email,is Payment office,Payment office Code
100,Office of tha Chairman,"চেয়ারম্যানের দপ্তর, বিউবো, ঢাকা","OFFICE OF THE CHAIRMAN, WAPDA BHABAN, MOTIJHEEL, DHAKA",,,FALSE,140
101,Board Secretariat,"বোর্ড সচিবালয়, বিউবো, ঢাকা","WAPDA BHABAN, MOTIJHEEL, DHAKA-1000",,,FALSE,140
102,Contract and Consultant Administration,"চুক্তি ও উপদেষ্টা প্রশাসন, বিউবো, ঢাকা","Biddut Bhaban, 1 No. Abdul Gani Road, Dhaka-1000.",,,FALSE,139
103,Document Centre,"ডকুমেন্ট সেন্টার, বিউবো, ঢাকা","Biddut Bhaban(13th Floor), 1 No. Abdul Gani Road, Dhaka-1000.",,,FALSE,140
104,Directorate of Public Relations,"পরিচালক, জনসংযোগ পরিদপ্তর, বিউবো, ঢাকা","WAPDA Bhaban(10th Floor), Motijheel, Dhaka-1000.",,,FALSE,140
105,"Central Printing Press, Dhaka","কেন্দ্রীয় ছাপাখানা, বিউবো, ঢাকা","WAPDA Auditorium Bhaban(Ground Floor), Motijheel, Dhaka",,,FALSE,140
106,"Office of the Member, Administration","সদস্য (প্রশাসন) এর দপ্তর, বিউবো, ঢাকা","WAPDA Bhaban(1st Floor), Motijheel, Dhaka-1000.",,,FALSE,140
107,"General Manager, Training","মহাব্যবস্থাপক, প্রশিক্ষণ, বিউবো, ঢাকা","Biddut Bhaban(9th Floor), 1 No. Abdul Gani Road, Dhaka-1000",,,FALSE,139
108,"Directorate of Training and Career Development, Dhaka","প্রশিক্ষণ ও পেশা উন্নয়ন পরিদপ্তর, বিউবো, ঢাকা","Biddut Bhaban(9th Floor), 1 No. Abdul Gani Road, Dhaka",,,FALSE,139
109,"Engineering Academy, Kaptai","প্রকৌশল একাডেমি, বিউবো, কাপ্তাই","ENGINEERING ACADEMY, KAPTAI, Chittagong",,,FALSE,160
110,"Training Academy, Cox's Bazar","প্রশিক্ষণ একাডেমি, বিউবো, কক্সবাজার","TRAINING ACADEMY, Zilonja, COX'S BAZAR",,,FALSE,141
111,"Chittagong Training Centre, Chittagong","চট্টগ্রাম প্রশিক্ষণ কেন্দ্র, বিউবো, চট্টগ্রাম","Foyzlake, Khulshi, Chittagong",,,FALSE,141
112,"Training Centre, Rajshahi","রাজশাহী প্রশিক্ষণ কেন্দ্র, বিউবো, রাজশাহী","RAJSHAHI TRAINING CENTER, Rajshahi",,,FALSE,1026
113,"Training Centre, Ghorashal","ঘোড়াশাল প্রশিক্ষণ কেন্দ্র, বিউবো, ঘোড়াশাল","GHORASAL TRAINING CENTER, Palash, Narsindhi",,,FALSE,157
114,"Regional Training Centre, Tongi","টঙ্গী আঞ্চলিক প্রশিক্ষণ কেন্দ্র, বিউবো, টঙ্গী, গাজীপুর","TONGI, Gazipur",,,FALSE,487
116,Directorate of Personnel,"কর্মচারী পরিদপ্তর, বিউবো, ঢাকা","WAPDA Bhaba(4th Floor), Motijheel, Dhaka-1000",,,FALSE,140
117,Directorate of Labour and Welfare,"শ্রম ও কল্যাণ পরিদপ্তর, বিউবো, ঢাকা","WAPDA Bhaban(9th/10th Floor), Motijheel, Dhaka",,,FALSE,140
118,Trustee Board,"ট্রাস্ট্রি বোর্ড, বিউবো, ঢাকা","1 No. Abdul Goni Road, Biddyut Bhaban (12 Floor), Dhaka-1000",,,FALSE,140
119,Directorate of Enquiry and Descipline,"তদন্ত ও শৃঙ্খলা পরিদপ্তর, বিউবো, ঢাকা","Wapda Bhaban (9th Fl), Motijhee, Dhaka-1000",,,FALSE,140
120,Directorate of Estate and Transport,"সম্পত্তি ও যানবাহন পরিদপ্তর, বিউবো, ঢাকা","Wapda Bhaban (1st Fl), Motijheel, Dhaka-1000",,,FALSE,140
121,Directorate of Organization and Method,"সংগঠন ও পদ্ধতি পরিদপ্তর, বিউবো, ঢাকা","Biddyut Bhaban (9th Fl), 1 No Abdul Goni Rd. Dhaka-1000",,,FALSE,139
122,Directorate of Security and Investigation,"নিরাপত্তা ও অনুসন্ধান পরিদপ্তর, বিউবো, ঢাকা","Wapda Bhaban (1st Fl), Motijheel C/A. Dhaka-1000",,,FALSE,140
133,"Office of the Member, Finance","সদস্য (অর্থ) এর দপ্তর, বিউবো , ঢাকা","Wapda Building (1st fl), Motijheel C/A. Dhaka-1000",,,FALSE,140
134,"Controller, Accounts and Finance","নিয়ন্ত্রক, হিসাব ও অর্থ এর দপ্তর, বিউবো, ঢাকা","Biddut Bhabon, (6th Flour), 1 No. Abdul Goni Road, Dhaka-1000",,,FALSE,140
