Routing No.,Account Name,Account No.,ERP Bank Code,Office id
10470912,DD RAO Pension A/C,STD-0200003282120,AGB-09104-1,49
135090222,DD RAO Pension A/C,100000000000,JANB-22103-1,319
135680911,DD RAO Pension A/C,SND-0100034962850,JANB-08108-1,44
185612326,DD RAO Pension A/C,SND-0794024000049,RUPA-25236-1,35
185360881,DD RAO Pension A/C,SND-5751024005003,RUPA-20105-1,45
200151609,DD RAO Pension A/C,819000000000,SONA-18103-1,42
200390378,DD RAO Pension A/C,110000000000,SONA-03109-1,257
200151933,DD RAO Pension A/C,308000000000,SONA-13103-1,41
200193215,DD RAO Pension A/C,1330000000000,SONA-23219-1,37
200130312,DD RAO Pension A/C,1510000000000,SONA-16103-1,268
200273761,DD RAO Pension A/C,1610000000000,SONA-02223-1,30
200273752,DD RAO Pension A/C,240000018,SONA-02223-2,30
200500313,DD RAO Pension A/C,3000000000000,SONA-10104-1,48
200841804,DD RAO Pension A/C,36000091,SONA-17104-1,43
200590424,DD RAO Pension A/C,3810000000000,SONA-24203-1,38
200782631,DD RAO Pension A/C,4200000000000,SONA-12104-1,51
200810179,DD RAO Pension A/C,4620000000000,SONA-07107-1,318
200851541,DD RAO Pension A/C,5020000000000,SONA-11103-1,40
200911399,DD RAO Pension A/C,5612 004000134,SONA-15103-1,50
200913647,DD RAO Pension A/C,5630000000000,SONA-14225-1,39
200341112,DD RAO Pension A/C,5710000000000,SONA-20105-1,289
200610524,DD RAO Pension A/C,SND-3305003000041,SONA-29226-1,36
200150163,DD RAO Pension A/C,SND-801136000237,SONA-05304-1,32
200154360,DD RAO Pension A/C,STD-00110000001,SONA-06224-1,33
200154360,DD RAO Pension A/C,STD-0828110000001(05),SONA-19103-1,46
200276971,DD RAO Pension A/C,STD-1619636000352,SONA-1141-1,31
200251786,DD RAO Pension A/C,STD-1831736000115,SONA-21103-1,52
200860831,DD RAO Pension A/C,STD-5410004000486,SONA-04103-1,96
200611752,DD RAO Pension A/C,STD-6015236000229,SONA-26228-1,34
